Date,Name,Year,Letterboxd URI,title_original
2023-01-04,The Myth of the American Sleepover,2010,https://boxd.it/2t9u,The Myth of the American Sleepover
2023-01-04,The King of Pigs,2011,https://boxd.it/3cvU,The King of Pigs
2023-01-04,Minuscule: Valley of the Lost Ants,2013,https://boxd.it/4vO4,Minuscule: Valley of the Lost Ants
2023-01-04,The Taking of Tiger Mountain,2014,https://boxd.it/9khe,The Taking of Tiger Mountain
2023-01-04,"Writers : 1983-2003, 20 ans de graffiti à Paris",2004,https://boxd.it/Jr6,"Writers : 1983-2003, 20 ans de graffiti à Paris"
2023-01-04,Comic Book Confidential,1988,https://boxd.it/10Oc,Comic Book Confidential
2023-01-04,On the Beach,1959,https://boxd.it/1cpe,On the Beach
2023-01-04,Stanley Kubrick: A Life in Pictures,2001,https://boxd.it/1lnm,Stanley Kubrick: A Life in Pictures
2023-01-04,Harper,1966,https://boxd.it/1udK,Harper
2023-01-04,The Keep,1983,https://boxd.it/1umW,The Keep
2023-01-04,Drunken Angel,1948,https://boxd.it/1uYQ,Drunken Angel
2023-01-04,The Car Keys,2003,https://boxd.it/1JsU,The Car Keys
2023-01-04,She Wore a Yellow Ribbon,1949,https://boxd.it/1Pa8,She Wore a Yellow Ribbon
2023-01-04,Vampires,1998,https://boxd.it/1XsY,Vampires
2023-01-04,The Tree of Life,2011,https://boxd.it/1Zu8,The Tree of Life
2023-01-04,The Conformist,1970,https://boxd.it/20cE,The Conformist
2023-01-04,The Witches of Eastwick,1987,https://boxd.it/2272,The Witches of Eastwick
2023-01-04,Severance,2006,https://boxd.it/23nq,Severance
2023-01-04,Mimic,1997,https://boxd.it/23zm,Mimic
2023-01-04,Pride & Prejudice,2005,https://boxd.it/24u8,Pride & Prejudice
2023-01-04,Atonement,2007,https://boxd.it/24ui,Atonement
2023-01-04,Dark Star,1974,https://boxd.it/28Ow,Dark Star
2023-01-04,The Orphanage,2007,https://boxd.it/2bfE,The Orphanage
2023-01-04,Drew: The Man Behind the Poster,2013,https://boxd.it/6n8y,Drew: The Man Behind the Poster
2023-01-04,Red Army,2014,https://boxd.it/7A00,Red Army
2023-01-04,Citizenfour,2014,https://boxd.it/9eSe,Citizenfour
2023-01-04,Breaking a Monster,2015,https://boxd.it/axiw,Breaking a Monster
2023-01-04,Kill Command,2016,https://boxd.it/dpgS,Kill Command
2023-01-04,Female Prisoner Scorpion: Jailhouse 41,1972,https://boxd.it/1326,Female Prisoner Scorpion: Jailhouse 41
2023-01-04,Monkeybone,2001,https://boxd.it/1yVm,Monkeybone
2023-01-04,Rolling Thunder,1977,https://boxd.it/1BgG,Rolling Thunder
2023-01-04,El Topo,1970,https://boxd.it/1QYS,El Topo
2023-01-04,Cronos,1992,https://boxd.it/1TjS,Cronos
2023-01-04,Something Wild,1986,https://boxd.it/1UbU,Something Wild
2023-01-04,Showgirls,1995,https://boxd.it/1Vmk,Showgirls
2023-01-04,The Man Who Wasn't There,2001,https://boxd.it/1Vqc,The Man Who Wasn't There
2023-01-04,Fitzcarraldo,1982,https://boxd.it/1YV8,Fitzcarraldo
2023-01-04,Monster House,2006,https://boxd.it/1Z2e,Monster House
2023-01-04,Hudson Hawk,1991,https://boxd.it/1Z32,Hudson Hawk
2023-01-04,Screamers,1995,https://boxd.it/1Z9Y,Screamers
2023-01-04,The Holy Mountain,1973,https://boxd.it/20mu,The Holy Mountain
2023-01-04,Y Tu Mamá También,2001,https://boxd.it/28QM,Y Tu Mamá También
2023-01-04,Blind Woman's Curse,1970,https://boxd.it/2tAA,Blind Woman's Curse
